route_stop_id,scheduled_travel_time,precipitation,wind_speed,temperature,hour_of_day,actual_delay
3,52.238351494783636,0.9393663058115981,14.123206334690918,20.381754776454194,19,10.828301313478558
4,49.40375075946229,2.1469494157193063,7.7072389037318025,20.866533650506405,15,9.717325889963005
1,40.8088028155008,0.1603596108346783,12.462386954719632,26.61086728253543,21,6.364832654380566
3,58.02212146253699,0.16681516050959388,11.880934046654392,21.351045853976533,11,11.14221426457387
3,24.021353198778126,0.976530685233479,13.286338161491024,27.11851168295049,19,6.347785266689421
4,19.916889463932964,3.5109696383397537,12.466032209903483,29.689274756632408,14,8.048872809079107
1,53.428288512993994,0.6433675198953089,13.51879870966845,26.274723255280747,12,9.134338276590737
1,34.76174174851867,0.4751087048723679,10.754131220403194,24.672342675342556,15,7.0496731730082605
3,53.11359843931772,1.119786543840138,12.234435669487171,23.634161047417603,7,9.760771552093354
2,55.18905923379367,3.1988270870980204,7.088685735772032,26.32679354525035,18,14.241612108627564
3,17.810591712858216,2.176274919447295,10.720370887988345,22.4468036929812,11,4.5564529980313235
3,54.75591433437273,6.480050926991626,17.563334192706574,26.922849229785992,14,14.810814498786588
3,35.174357491623994,0.027392581713525054,13.275233358513024,25.070529026448423,13,7.1454726724291096
3,37.96946200519045,0.14370045889969765,11.916315850467692,20.20079769609806,15,6.26976903699264
4,43.19666299919446,1.1282937130937887,19.584493105017387,26.47925440051403,21,10.991320650375943
1,56.6872173028539,2.0616072091475224,6.5566600867956835,22.457400029887843,20,10.446522384847762
4,15.860224249339382,0.4029774386228087,7.562177778215121,21.46933996193842,18,2.7475686249911644
4,36.45795607430177,0.32807921044155636,18.85084564510509,19.619004198005065,11,10.869191698515031
4,45.94749190937523,1.8556194021577266,12.183843744195736,22.830094239372862,14,9.187882756329982
3,47.52181309642028,0.06964044104615498,11.029667854840826,26.982313077064916,12,7.525202706795941
2,46.163959419169856,0.5532672179244351,7.203182699617427,26.444700027965187,10,7.746405292671071
1,21.04958082336548,0.8458003767140073,13.790785065580048,23.766968987294785,16,8.175356735143307
